room_type_Entire home/apt,neighbourhood_group_cleansed_Manhattan,accommodates,bathroom_type_baths,bedrooms,bathroom_type_shared,bedrooms_per_accommodates,review_scores_location,gym,room_type_Private room,Predicted_Price,price,Error
1.0,1.0,5.0,0.0,1.0,0.0,0.2,4.79,0.0,0.0,159.2819160269789,299.0,139.7180839730211
1.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.31,0.0,0.0,100.60081271312578,119.0,18.399187286874223
1.0,1.0,5.0,0.0,2.0,0.0,0.4,4.51,0.0,0.0,156.79918762625462,149.0,-7.799187626254621
1.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.67,0.0,0.0,101.76881109048738,75.0,-26.768811090487375
1.0,1.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.64,0.0,0.0,142.55257798165638,150.0,7.447422018343616
0.0,0.0,2.0,0.0,1.0,0.0,0.5,5.0,0.0,1.0,70.23028560198729,100.0,29.76971439801271
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.41,1.0,0.0,144.81721738730602,199.0,54.182782612693984
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.84,0.0,1.0,81.8737623835232,55.0,-26.8737623835232
0.0,0.0,4.0,0.0,1.0,0.0,0.25,4.78,1.0,0.0,148.5974330098934,349.0,200.4025669901066
0.0,0.0,4.0,0.0,1.0,0.0,0.25,3.67,1.0,1.0,148.27641244172145,349.0,200.72358755827855
1.0,0.0,5.0,1.0,3.0,0.0,0.6,4.97,0.0,0.0,283.8396797363617,160.0,-123.83967973636169
0.0,0.0,4.0,0.0,1.0,0.0,0.25,3.5,1.0,1.0,142.548659871931,349.0,206.451340128069
0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.9,0.0,1.0,52.85366026357638,100.0,47.14633973642362
1.0,0.0,4.0,0.0,2.0,0.0,0.5,4.95,0.0,0.0,177.54088049417678,200.0,22.459119505823224
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.83,0.0,0.0,146.51846668647397,135.0,-11.518466686473971
1.0,0.0,5.0,0.0,2.0,0.0,0.4,4.92,0.0,0.0,180.12452910148477,150.0,-30.124529101484768
1.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.17,0.0,0.0,96.24389188956974,75.0,-21.24389188956974
1.0,0.0,3.0,0.0,2.0,0.0,0.6666666666666666,4.8,0.0,0.0,140.60271827957766,150.0,9.397281720422342
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.84,1.0,0.0,145.81598039549257,199.0,53.18401960450743
1.0,0.0,4.0,0.0,2.0,0.0,0.5,4.26,0.0,0.0,124.73636092314472,80.0,-44.736360923144716
1.0,0.0,5.0,0.0,2.0,0.0,0.4,4.55,0.0,0.0,142.9178531844493,106.0,-36.917853184449314
1.0,0.0,4.0,0.0,1.0,0.0,0.25,4.82,0.0,0.0,132.5258065777441,103.0,-29.525806577744106
1.0,0.0,2.0,1.0,1.0,0.0,0.5,4.52,0.0,0.0,133.49145239320868,140.0,6.508547606791325
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.79,0.0,0.0,112.44996571231047,140.0,27.550034287689527
1.0,0.0,6.0,0.0,2.0,0.0,0.3333333333333333,4.5,0.0,0.0,155.2948584482547,200.0,44.7051415517453
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.67,0.0,0.0,134.1524530276503,130.0,-4.152453027650296
1.0,0.0,2.0,0.0,5.0,0.0,2.5,5.0,0.0,0.0,114.9973392068886,123.0,8.002660793111403
1.0,1.0,2.0,0.0,1.0,0.0,0.5,4.68,0.0,0.0,133.98710336591637,135.0,1.0128966340836314
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.44,0.0,1.0,70.31039040369653,49.0,-21.31039040369653
1.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.79,0.0,0.0,112.15320208504053,130.0,17.846797914959467
1.0,1.0,2.0,0.0,1.0,0.0,0.5,5.0,0.0,0.0,156.85914668056722,199.0,42.14085331943278
0.0,0.0,4.0,1.0,3.0,0.0,0.75,4.52,0.0,1.0,161.68863360190903,175.0,13.311366398090968
1.0,1.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.88,0.0,0.0,166.43512695716777,389.0,222.56487304283223
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.88,0.0,0.0,123.62239786367621,295.0,171.3776021363238
0.0,0.0,6.0,0.0,2.0,0.0,0.3333333333333333,3.57,1.0,1.0,318.6857589140291,599.0,280.3142410859709
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.57,0.0,1.0,72.69005187110413,80.0,7.3099481288958685
0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.64,0.0,1.0,67.47744623610589,76.0,8.52255376389411
1.0,0.0,4.0,0.0,2.0,0.0,0.5,4.8,0.0,0.0,147.26753504973988,150.0,2.7324649502601233
1.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.88,0.0,0.0,129.31175084391307,175.0,45.688249156086925
1.0,1.0,2.0,0.0,5.0,0.0,2.5,4.79,0.0,0.0,118.68068876712894,166.0,47.31931123287106
1.0,1.0,2.0,0.0,5.0,0.0,2.5,4.93,0.0,0.0,140.61238724190332,189.0,48.38761275809668
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.0,0.0,1.0,96.38534180422673,90.0,-6.3853418042267265
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.85,0.0,1.0,73.04367130976145,95.0,21.95632869023855
0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.7494104477611945,0.0,1.0,62.44431508740753,90.0,27.55568491259247
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.51,0.0,1.0,61.660167907604325,55.0,-6.660167907604325
1.0,0.0,6.0,1.0,3.0,0.0,0.5,4.64,0.0,0.0,217.8283031963353,235.0,17.1716968036647
0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.7,0.0,1.0,59.644702088474936,65.0,5.355297911525064
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.84,0.0,0.0,117.91609527891927,85.0,-32.91609527891927
1.0,1.0,4.0,0.0,5.0,0.0,1.25,4.3,0.0,0.0,123.55369410543481,70.0,-53.553694105434815
