room_type_Entire home/apt,neighbourhood_group_cleansed_Manhattan,accommodates,bathroom_type_baths,bedrooms,bathroom_type_shared,bedrooms_per_accommodates,review_scores_location,gym,room_type_Private room
1.0,0.0,4.0,0.0,5.0,0.0,1.25,4.96,0.0,0.0
1.0,1.0,4.0,0.0,2.0,0.0,0.5,4.35,0.0,0.0
1.0,0.0,4.0,0.0,5.0,0.0,1.25,4.83,0.0,0.0
1.0,0.0,5.0,1.0,3.0,0.0,0.6,4.87,0.0,0.0
1.0,1.0,2.0,0.0,5.0,0.0,2.5,4.62,0.0,0.0
1.0,1.0,5.0,0.0,2.0,0.0,0.4,4.68,0.0,0.0
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.88,0.0,1.0
1.0,1.0,4.0,0.0,1.0,0.0,0.25,4.88,0.0,0.0
1.0,0.0,6.0,0.0,2.0,0.0,0.3333333333333333,4.95,0.0,0.0
1.0,1.0,4.0,0.0,2.0,0.0,0.5,4.81,0.0,0.0
1.0,0.0,4.0,0.0,2.0,0.0,0.5,5.0,0.0,0.0
1.0,1.0,4.0,0.0,2.0,0.0,0.5,4.7494104477611945,0.0,0.0
1.0,1.0,7.0,1.0,4.0,0.0,0.5714285714285714,4.7494104477611945,0.0,0.0
1.0,1.0,5.0,1.0,2.0,0.0,0.4,4.88,0.0,0.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.95,0.0,0.0
1.0,0.0,3.0,0.0,2.0,0.0,0.6666666666666666,4.88,0.0,0.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.7494104477611945,0.0,0.0
1.0,1.0,7.0,0.0,2.0,0.0,0.2857142857142857,4.73,0.0,0.0
0.0,1.0,2.0,0.0,1.0,0.0,0.5,4.95,0.0,1.0
0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.15,0.0,1.0
1.0,0.0,4.0,0.0,1.0,0.0,0.25,3.68,0.0,0.0
0.0,0.0,2.0,0.0,1.0,0.0,0.5,3.84,0.0,1.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.99,0.0,0.0
0.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,4.61,0.0,1.0
0.0,0.0,2.0,0.0,1.0,0.0,0.5,4.9,0.0,1.0
0.0,1.0,2.0,0.0,1.0,1.0,0.5,4.96,0.0,1.0
1.0,0.0,6.0,1.0,3.0,0.0,0.5,4.93,0.0,0.0
1.0,0.0,2.0,0.0,1.0,0.0,0.5,4.14,0.0,0.0
1.0,1.0,5.0,0.0,1.0,0.0,0.2,4.76,0.0,0.0
1.0,1.0,6.0,0.0,2.0,0.0,0.3333333333333333,4.52,0.0,0.0
